ID Enrollment Status,Enrollment Status,ID Year,Year,Enrollment,University,ID University,Slug University,share
1,"Full time",2014,"2014",5047167,"Doctoral Universities","DOC","doctoral-universities",0.7846347573767918
2,"Part time",2014,"2014",1385338,"Doctoral Universities","DOC","doctoral-universities",0.21536524262320822
1,"Full time",2014,"2014",2785665,"Doctoral Universities: Highest Research Activity","15","doctoral-universities-highest-research-activity",0.838142854048121
2,"Part time",2014,"2014",537951,"Doctoral Universities: Highest Research Activity","15","doctoral-universities-highest-research-activity",0.16185714595187892
1,"Full time",2014,"2014",17022,"Northwestern University","147767","northwestern-university",0.7897374037301661
1,"Full time",2014,"2014",13407,"Johns Hopkins University","162928","johns-hopkins-university",0.6273161145423919
1,"Full time",2014,"2014",6155,"Dartmouth College","182670","dartmouth-college",0.9772943791679899
1,"Full time",2014,"2014",11520,"Carnegie Mellon University","211440","carnegie-mellon-university",0.9152299992055295
1,"Full time",2014,"2014",21441,"University of Pennsylvania","215062","university-of-pennsylvania",0.8643473353220995
1,"Full time",2014,"2014",8756,"Brown University","217156","brown-university",0.9537087463239299
2,"Part time",2014,"2014",4532,"Northwestern University","147767","northwestern-university",0.2102625962698339
2,"Part time",2014,"2014",7965,"Johns Hopkins University","162928","johns-hopkins-university",0.3726838854576081
2,"Part time",2014,"2014",143,"Dartmouth College","182670","dartmouth-college",0.02270562083201016
2,"Part time",2014,"2014",1067,"Carnegie Mellon University","211440","carnegie-mellon-university",0.08477000079447049
2,"Part time",2014,"2014",3365,"University of Pennsylvania","215062","university-of-pennsylvania",0.13565266467790052
2,"Part time",2014,"2014",425,"Brown University","217156","brown-university",0.04629125367607014
1,"Full time",2013,"2013",4787984,"Doctoral Universities","DOC","doctoral-universities",0.7784737311388582
2,"Part time",2013,"2013",1362492,"Doctoral Universities","DOC","doctoral-universities",0.2215262688611418
1,"Full time",2013,"2013",2739577,"Doctoral Universities: Highest Research Activity","15","doctoral-universities-highest-research-activity",0.8387527474159212
2,"Part time",2013,"2013",526674,"Doctoral Universities: Highest Research Activity","15","doctoral-universities-highest-research-activity",0.16124725258407882
1,"Full time",2013,"2013",17190,"Northwestern University","147767","northwestern-university",0.7961281956280104
1,"Full time",2013,"2013",13256,"Johns Hopkins University","162928","johns-hopkins-university",0.6337125920260063
1,"Full time",2013,"2013",6185,"Dartmouth College","182670","dartmouth-college",0.9752444023967203
1,"Full time",2013,"2013",11279,"Carnegie Mellon University","211440","carnegie-mellon-university",0.9120239346648338
1,"Full time",2013,"2013",21344,"University of Pennsylvania","215062","university-of-pennsylvania",0.8665854648802274
1,"Full time",2013,"2013",8527,"Brown University","217156","brown-university",0.9534831711953483
2,"Part time",2013,"2013",4402,"Northwestern University","147767","northwestern-university",0.20387180437198962
2,"Part time",2013,"2013",7662,"Johns Hopkins University","162928","johns-hopkins-university",0.3662874079739937
2,"Part time",2013,"2013",157,"Dartmouth College","182670","dartmouth-college",0.024755597603279722
2,"Part time",2013,"2013",1088,"Carnegie Mellon University","211440","carnegie-mellon-university",0.08797606533516616
2,"Part time",2013,"2013",3286,"University of Pennsylvania","215062","university-of-pennsylvania",0.13341453511977264
2,"Part time",2013,"2013",416,"Brown University","217156","brown-university",0.04651682880465168
1,"Full time",2012,"2012",4737820,"Doctoral Universities","DOC","doctoral-universities",0.7754654237798027
